run_id,solver,total_cells,passed_cells,pass_rate
exp-20260617-000219,true,600,399,66.5
exp-20260617-000219,false,600,584,97.3
exp-20260616-225107,true,200,136,68.0
exp-20260616-225107,false,200,198,99.0
exp-20260616-224430,true,10,9,90.0
exp-20260616-213834,true,5,3,60.0
exp-20260616-213352,true,1,1,100.0
exp-20260616-212331,true,1,1,100.0
exp-20260615-191224,true,600,395,65.8
exp-20260615-191224,false,600,584,97.3
exp-20260615-073849,true,200,137,68.5
exp-20260615-073849,false,200,191,95.5
exp-20260615-073312,true,1,1,100.0
exp-20260615-073231,true,1,1,100.0
exp-20260615-073133,true,1,1,100.0
exp-20260615-071139,true,10,7,70.0
exp-20260615-070540,true,10,7,70.0
exp-20260611-081142,true,1,1,100.0
exp-20260611-081132,true,1,1,100.0
exp-20260611-081102,true,1,1,100.0
exp-20260611-081032,true,1,1,100.0
