model,solver,total_cells,passed_cells,pass_rate,avg_latency_ms,avg_llm_calls
gemma4:e2b,true,164,150,91.5,13646.6,1.9
sonnet-4-6,true,170,154,90.6,10912.8,1.9
rnj-1,true,163,138,84.7,6685.6,1.8
qwen2.5,true,164,119,72.6,4066.2,1.7
gemma3,true,164,116,70.7,4588.6,1.7
phi4,true,165,115,69.7,11585.5,1.7
llama3.2,true,163,109,66.9,2886.8,1.7
deepseek-v2:16b,true,164,89,54.3,5956.4,1.5
lfm2.5,true,163,67,41.1,11499.9,1.4
phi3,true,164,45,27.4,3639.7,1.3
sonnet-4-6,false,160,160,100.0,11707.5,1.0
rnj-1,false,160,160,100.0,7155.6,1.0
qwen2.5,false,160,160,100.0,8288.1,1.0
phi4,false,160,160,100.0,24698.0,1.0
phi3,false,160,160,100.0,7177.3,1.0
llama3.2,false,160,160,100.0,4562.0,1.0
gemma3,false,160,160,100.0,4370.7,1.0
deepseek-v2:16b,false,160,160,100.0,10426.6,1.0
gemma4:e2b,false,160,156,97.5,11180.3,1.0
lfm2.5,false,160,121,75.6,6552.6,1.0
